Date, Close/Last, Volume, Open, High, Low
04/17/2020, $282.8, 53812480, $284.69, $286.945, $276.86
04/16/2020, $286.69, 39281290, $287.38, $288.1975, $282.3502
04/15/2020, $284.43, 32788640, $282.4, $286.33, $280.63
04/14/2020, $287.05, 48748670, $280, $288.25, $278.05
04/13/2020, $273.25, 32755730, $268.31, $273.7, $265.83
04/09/2020, $267.99, 40529120, $268.7, $270.07, $264.7
04/08/2020, $266.07, 42223820, $262.74, $267.37, $261.23
04/07/2020, $259.43, 50721830, $270.8, $271.7, $259
04/06/2020, $262.47, 50455070, $250.9, $263.11, $249.38
04/03/2020, $241.41, 32470020, $242.8, $245.7, $238.9741
04/02/2020, $244.93, 41483490, $240.34, $245.15, $236.9
04/01/2020, $240.91, 44054640, $246.5, $248.72, $239.13
03/31/2020, $254.29, 49250500, $255.6, $262.49, $252
03/30/2020, $254.81, 41994110, $250.74, $255.52, $249.4
03/27/2020, $247.74, 51054150, $252.75, $255.87, $247.05
03/26/2020, $258.44, 63140170, $246.52, $258.68, $246.36
03/25/2020, $245.52, 75900510, $250.75, $258.25, $244.3
03/24/2020, $246.88, 71882770, $236.36, $247.69, $234.3
03/23/2020, $224.37, 84188210, $228.08, $228.4997, $212.61
03/20/2020, $229.24, 100423300, $247.18, $251.83, $228
03/19/2020, $244.78, 67964260, $247.385, $252.84, $242.61
03/18/2020, $246.67, 75058410, $239.77, $250, $237.12
